seq_ids	strain_ids
2019-BUR-0118	CFIAFB20190266
2019-DAR-0250	CFIAFB20180611
2018-SEQ-0293	OLC3227
2019-SEQ-0985	CFIAFB20190239
2018-SEQ-1598	OLC3500
2017-SEQ-1652	OLC3096
2021-SEQ-0006	CFIAFB20200208
2019-SEQ-0398	OLC3501
2015-SEQ-0195	OLC0458
2016-SEQ-0001	OLC0459
2016-SEQ-0002	OLC0460
2017-MER-0174	OLC0461
2016-SEQ-0004	OLC0462
2016-SEQ-0005	OLC0463
2014-SEQ-0103	OLC0464
2017-MER-0689	OLC0467
2016-SEQ-0244	OLC0468
2016-SEQ-0732	OLC0469
2016-SEQ-0733	OLC0470
2016-SEQ-0735	OLC0472
2016-SEQ-0763	OLC0477
2016-SEQ-0764	OLC0478
2016-SEQ-0765	OLC0479
2016-SEQ-0770	OLC0484
2015-SEQ-1646	OLC0609
2016-SEQ-0771	OLC0611
2016-SEQ-0007	OLC0630
2016-SEQ-0008	OLC0631
2016-SEQ-0010	OLC0633
2016-SEQ-0011	OLC0634
2016-SEQ-0772	OLC0635
2013-SEQ-0034	OLC0638
2017-MER-0183	OLC0639
2016-SEQ-0776	OLC0640
2018-MER-0043	OLC0667
2018-MER-0044	OLC0669
2019-MER-0015	OLC0675
2016-SEQ-1055	OLC0676
2016-SEQ-1056	OLC0677
2019-MER-0219	OLC0678
2016-SEQ-0988	OLC0679
2016-SEQ-0986	OLC0680
2019-SEQ-0467	OLC0686
2015-SEQ-1651	OLC0708
2014-SEQ-0205	OLC0709
2014-SEQ-0443	OLC0710
2016-SEQ-0990	OLC0711
2015-SEQ-1172	OLC0714
2016-SEQ-0991	OLC0715
2014-SEQ-0440	OLC0716
2016-SEQ-1389	OLC0717
2019-MER-0020	OLC0718
2013-SEQ-0038	OLC0720
2014-SEQ-0336	OLC0721
2018-SEQ-0289	OLC0723
2016-SEQ-1080	OLC0725
2013-SEQ-0039	OLC0726
2017-MER-0179	OLC0728
2016-SEQ-1081	OLC0729
2016-SEQ-1082	OLC0731
2019-MER-0030	OLC0732
2014-SEQ-0334	OLC0733
2016-SEQ-1083	OLC0789
2014-SEQ-1293	OLC0797
2016-SEQ-0250	OLC0803
2016-SEQ-0251	OLC0807
2014-SEQ-0586	OLC0816
2018-SEQ-0874	OLC0820
2018-SEQ-0875	OLC0821
2019-MER-0021	OLC0982
2017-MER-0537	OLC0985
2014-SEQ-0122	OLC0987
2019-MER-0014	OLC0988
2019-MER-0027	OLC0989
2014-SEQ-0127	OLC0992
2015-SEQ-1364	OLC0993
2013-SEQ-0126	OLC0994
2019-MER-0017	OLC0995
2017-MER-0363	OLC0996
2017-MER-0364	OLC0997
2013-SEQ-0128	OLC0998
2017-MER-0366	OLC0999
2013-SEQ-0125	OLC1000
2013-SEQ-0130	OLC1001
2013-SEQ-0124	OLC1002
2017-MER-0370	OLC1003
2022-SEQ-0487	OLC1004
2018-MER-0080	OLC1019
2017-MER-0178	OLC1020
2016-SEQ-0012	OLC1027
2016-SEQ-0014	OLC1029
2016-SEQ-0015	OLC1030
2017-MER-0371	OLC1031
2017-MER-0176	OLC1036
2014-SEQ-0330	OLC1042
2016-SEQ-0252	OLC1056
2017-MER-0373	OLC1059
2015-SEQ-0035	OLC1060
2014-SEQ-0253	OLC1061
2017-MER-0374	OLC1063
2019-MER-0041	OLC1064
2017-MER-0190	OLC1065
2017-MER-0375	OLC1067
2014-SEQ-0258	OLC1068
2015-SEQ-1165	OLC1069
2015-SEQ-1166	OLC1070
2014-SEQ-0190	OLC1072
2014-SEQ-0191	OLC1073
2017-MER-0191	OLC1075
2013-SEQ-0046	OLC1077
2013-SEQ-0107	OLC1114
2013-SEQ-0108	OLC1115
2013-SEQ-0109	OLC1116
2017-MER-0377	OLC1128
2015-SEQ-1144	OLC1251
2015-SEQ-1145	OLC1252
2015-SEQ-1149	OLC1256
2018-MER-0116	OLC1257
2015-SEQ-1151	OLC1258
2018-MER-0119	OLC1260
2018-MER-0117	OLC1261
2015-SEQ-1155	OLC1262
2015-SEQ-1156	OLC1263
2015-SEQ-1347	OLC1264
2015-SEQ-1158	OLC1265
2015-SEQ-1160	OLC1267
2015-SEQ-1161	OLC1268
2015-SEQ-1162	OLC1269
2014-SEQ-0635	OLC1476
2014-SEQ-0637	OLC1478
2014-SEQ-0638	OLC1479
2014-SEQ-0639	OLC1480
2014-SEQ-0349	OLC1685
2017-MER-0379	OLC2134
2017-MER-0380	OLC2135
2015-SEQ-1365	OLC2136
2014-SEQ-1345	OLC2137
2017-MER-0383	OLC2138
2014-SEQ-1348	OLC2140
2015-SEQ-1532	OLC2272
2015-SEQ-1533	OLC2273
2015-SEQ-1535	OLC2275
2015-SEQ-1536	OLC2276
2015-SEQ-1539	OLC2279
2015-SEQ-1540	OLC2280
2015-SEQ-1541	OLC2281
2017-SEQ-0084	OLC2519
2017-SEQ-0210	OLC2522
2017-SEQ-0618	OLC2660
2020-MER-0020	OLC3222
2018-SEQ-0619	OLC3299
2018-SEQ-0879	OLC3374
2018-SEQ-1270	OLC3405
2019-MER-0054	OLC3483
2019-MER-0137	OLC3602
2017-OLF-0175	OLF14112-1
2017-MER-0414	OLF15049
2017-HCLON-0011	OLF16013-10
2017-HCLON-0013	OLF16115
2017-SEQ-0456	OLF17060
2018-SEQ-0375	OLF18070
2018-SEQ-1351	OLC3464
2014-SEQ-1305	OLF09014
2015-SEQ-0037	OLF10122-2
2016-SEQ-0129	OLF16042-1
2017-MER-0052	OLF17042
2017-MER-0187	OLC1328
2017-MER-0214	OLF17035-1
2018-SEQ-1392	OLF18185-1
2017-MER-0543	OLF12068-1
2014-SEQ-0457	OLF13124
2014-SEQ-0248	OLF11057-1
2015-SEQ-0044	OLF12010-1
2022-MINS-0034	CFIAFB20190266
2019-MIN-0073	CFIAFB20180611
2023-MINS-0001	OLC3227
2021-MIN-0009	CFIAFB20190239
2022-MINS-0057	OLC3500
2023-MINS-0017	OLC3096
2022-MINS-0072	CFIAFB20200208
2022-MINS-0070	OLC3501
2021-MIN-0038	OLC0458
2021-MIN-0039	OLC0459
2021-MIN-0027	OLC0460
2021-MIN-0040	OLC0461
2021-MIN-0041	OLC0462
2021-MIN-0042	OLC0463
2014-SEQ-0103	OLC0464
2021-MIN-0028	OLC0467
2021-MINS-0046	OLC0468
2021-MINS-0047	OLC0469
2021-MINS-0048	OLC0470
2021-MINS-0050	OLC0472
2021-MINS-0052	OLC0477
2021-MINS-0053	OLC0478
2021-MINS-0054	OLC0479
2021-MIN-0057	OLC0484
2021-MIN-0058	OLC0609
2021-MIN-0059	OLC0611
2021-MIN-0060	OLC0630
2021-MIN-0062	OLC0631
2021-MIN-0063	OLC0633
2021-MIN-0064	OLC0634
2021-MIN-0065	OLC0635
2021-MIN-0066	OLC0638
2021-MIN-0120	OLC0639
2021-MIN-0217	OLC0640
2021-MIN-0072	OLC0667
2021-MIN-0079	OLC0669
2021-MIN-0074	OLC0675
2021-MIN-0075	OLC0676
2022-MINS-0073	OLC0677
2021-MIN-0097	OLC0678
2021-MIN-0098	OLC0679
2021-MIN-0099	OLC0680
2021-MIN-0234	OLC0686
2021-MIN-0113	OLC0708
2021-MIN-0114	OLC0709
2021-MIN-0115	OLC0710
2021-MIN-0237	OLC0711
2021-MIN-0129	OLC0714
2021-MIN-0124	OLC0715
2021-MIN-0125	OLC0716
2021-MIN-0126	OLC0717
2021-MIN-0127	OLC0718
2022-MINS-0074	OLC0720
2021-MIN-0032	OLC0721
2021-MIN-0134	OLC0723
2021-MIN-0258	OLC0725
2021-MIN-0136	OLC0726
2021-MIN-0033	OLC0728
2021-MIN-0259	OLC0729
2021-MIN-0034	OLC0731
2021-MIN-0260	OLC0732
2019-MINB-0001	OLC0733
2021-MIN-0139	OLC0789
2014-SEQ-1293	OLC0797
2016-SEQ-0250	OLC0803
2016-SEQ-0251	OLC0807
2014-SEQ-0586	OLC0816
2018-SEQ-0874	OLC0820
2021-MIN-0158	OLC0821
2021-MIN-0255	OLC0982
2021-MIN-0010	OLC0985
2021-MIN-0013	OLC0987
2021-MIN-0150	OLC0988
2019-MIN-0085	OLC0989
2021-MIN-0169	OLC0992
2019-MIN-0086	OLC0993
2021-MIN-0035	OLC0994
2021-MIN-0170	OLC0995
2021-MIN-0014	OLC0996
2021-MIN-0171	OLC0997
2021-MIN-0229	OLC0998
2021-MIN-0230	OLC0999
2021-MIN-0036	OLC1000
2021-MIN-0231	OLC1001
2021-MIN-0232	OLC1002
2021-MIN-0233	OLC1003
2022-SEQ-0487	OLC1004
2018-MER-0080	OLC1019
2017-MER-0178	OLC1020
2016-SEQ-0012	OLC1027
2016-SEQ-0014	OLC1029
2016-SEQ-0015	OLC1030
2021-MIN-0221	OLC1031
2021-MIN-0225	OLC1036
2021-MIN-0226	OLC1042
2019-MINB-0003	OLC1056
2017-MER-0373	OLC1059
2021-MIN-0016	OLC1060
2022-MIN-0014	OLC1061
2021-MIN-0246	OLC1063
2021-MIN-0247	OLC1064
2017-MER-0190	OLC1065
2021-MIN-0021	OLC1067
2021-MIN-0253	OLC1068
2021-MIN-0254	OLC1069
