seq_ids	gene_ids
16-9255	Stx2a_1_AB030484
2014-SEQ-0103	Stx1a_9_AF461168
2014-SEQ-0336	Stx2d_115_GQ429172
2015-SEQ-1160	Stx2e_36_AJ313016
2015-SEQ-1162	Stx2g_39_GCA_017172955.1
2015-SEQ-1365	Stx1c_12_AARXOJ010000002.1
2015-SEQ-1532	Stx1a_9_AF461168
2015-SEQ-1533	Stx2d_115_AF500190
2015-SEQ-1536	Stx2a_1_AB030484
2015-SEQ-1540	Stx1a_9_DAJNGO010000043.1
2015-SEQ-1541	Stx2c_17_AB015057
2016-SEQ-0012	Stx1a_9_AB035142
2016-SEQ-0014	Stx1a_42_DAHCAV010000159.1
2016-SEQ-0015	Stx1a_449_AARZZO010000152.1
2016-SEQ-1082	Stx2a_16_AF524944
2017-MER-0178	Stx1a_9_AF461168
2017-MER-0179	Stx1a_9_AF461168
2017-MER-0190	Stx2d_134_JAOWPC010000001.1
2017-MER-0362	Stx2a_16_BFKR01000277.1
2017-MER-0367	Stx1d_4_AY170851
2017-PAC-0024	Stx2c_420_GCA_028129755.1
2017-PAC-0030	Stx2a_1_X07865
2017-PAC-0037	Stx1a_9_AB035142
2017-PAC-0045	Stx2c_17_AB015057
2019-MIN-0073	Stx2b_113_2019_MIN_0073,Stx2b_113_2019_MIN_0073
2019-MIN-0085	Stx2d_115_FM998848
2019-MIN-0086	Stx2a_1_AB030484
2019-MINB-0001	Stx2o_41_MZ229604
2019-MINB-0003	Stx2h_49_GCF_018986815.1
2019-MINB-0004	Stx2j_104_MZ229608
2021-MIN-0009	Stx2i_43_OLC3602
2021-MIN-0010	Stx2f_89_AJ010730
2021-MIN-0013	Stx1a_15_M19473
2021-MIN-0014	Stx2a_1_X07865
2021-MIN-0016	Stx2d_27_DQ059012
2021-MIN-0018	Stx2a_1_AB030484
2021-MIN-0021	Stx2a_16_AF524944
2021-MIN-0022	Stx1a_9_AB035142
2021-MIN-0024	Stx2b_110_ABJBRM010000291.1
2021-MIN-0027	Stx2a_1_X07865
2021-MIN-0028	Stx1a_15_M19473
2021-MIN-0038	Stx1a_9_AB035142
2021-MIN-0039	Stx1a_9_AB035142
2021-MIN-0040	Stx1a_9_AB035142
2021-MIN-0041	Stx1a_9_AB035142
2021-MIN-0042	Stx1a_9_AB035142
2021-MIN-0057	Stx2a_1_X07865
2021-MIN-0058	Stx1a_9_AB035142
2021-MIN-0059	Stx1a_9_AF461168
2021-MIN-0060	Stx1a_9_AF461168
2021-MIN-0062	Stx1a_9_AF461168
2021-MIN-0063	Stx1a_9_AB035142
2021-MIN-0064	Stx1a_8_AB083044,Stx1a_8_AB083044
2021-MIN-0065	Stx1a_9_AF461168
2021-MIN-0066	Stx1a_9_AF461168
2021-MIN-0072	Stx1a_9_AARCHT010000002.1
2021-MIN-0074	Stx1a_9_AF461168
2021-MIN-0075	Stx1a_9_AF461168
2021-MIN-0079	Stx1d_4_AY986980
2021-MIN-0097	Stx2a_1_AB030484
2021-MIN-0098	Stx1a_9_AF461168
2021-MIN-0099	Stx1a_9_AF461168
2021-MIN-0113	Stx2a_127_LDDV01000048.1
2021-MIN-0114	Stx1a_179_LODF01000184.1
2021-MIN-0115	Stx2a_1_AB030484
2021-MIN-0120	Stx1a_9_AF461168
2021-MIN-0129	Stx1a_9_AB035142
2021-MIN-0134	Stx1a_9_M19437
2021-MIN-0136	Stx2d_115_AF500190,Stx2a_107_AY443054
2021-MIN-0139	Stx2a_1_AB030484
2021-MIN-0140	Stx1a_9_AB035142
2021-MIN-0141	Stx1a_9_AB035142
2021-MIN-0142	Stx1a_9_AB035142
2021-MIN-0143	Stx1a_9_AB035142
2021-MIN-0150	Stx2d_9_RRDT01000086.1,Stx2d_9_RRDT01000086.1
2021-MIN-0153	Stx2d_112_GCA_012069975.1
2021-MIN-0158	Stx1a_36_LGZX01000131.1
2021-MIN-0169	Stx1d_4_AY170851
2021-MIN-0170	Stx2b_23_2020_SEQ_0005
2021-MIN-0171	Stx2b_116_AF043627
2021-MIN-0217	Stx1a_9_AF461168
2021-MIN-0221	Stx2a_1_AB030484
2021-MIN-0225	Stx2a_1_AB030484
2021-MIN-0226	Stx2a_1_X07865
2021-MIN-0229	Stx2d_27_DQ059012
2021-MIN-0230	Stx2g_26_AY286000
2021-MIN-0231	Stx2f_89_AJ010730
2021-MIN-0232	Stx2b_109_GCA_011901285.1
2021-MIN-0233	Stx2e_25_M21534
2021-MIN-0234	Stx2d_115_AARXRX010000092.1
2021-MIN-0237	Stx1a_9_AF461168
2021-MIN-0246	Stx1d_4_AY170851
2021-MIN-0247	Stx1a_9_AB035142
2021-MIN-0250	Stx2i_43_OLC3602
2021-MIN-0253	Stx2a_1_X07865
2021-MIN-0254	Stx2a_16_AF524944
2021-MIN-0255	Stx1d_34_GCA_022117655.1
2021-MIN-0258	Stx1a_9_AF461168
2021-MIN-0259	Stx2c_152_NKMQ01000043.1
2021-MIN-0260	Stx2c_8_FM177471
2021-MIN-0261	Stx2c_17_AB015057
2021-MIN-0262	Stx2b_109_AARSUM010000040.1
2021-MIN-0263	Stx2a_16_FM998858
2021-MIN-0264	Stx2c_X_298_GCA_004273465.2
2021-MINS-0046	Stx1a_15_M19473
2021-MINS-0047	Stx2c_17_AB015057
2021-MINS-0048	Stx2c_17_AB015057
2021-MINS-0050	Stx2a_1_X07865
2021-MINS-0052	Stx2c_17_AB015057
2021-MINS-0053	Stx2a_1_X07865
2021-MINS-0054	Stx2c_17_AB015057
2021-MINS-0124	Stx2a_1_X07865
2021-MINS-0125	Stx1a_9_AF461168
2021-MINS-0126	Stx1a_9_AF461168
2021-MINS-0127	Stx2a_1_X07865
2021-MINS-0144	Stx2c_17_AB015057
2021-MINS-0145	Stx2a_11_RRLH01000051.1
2021-MINS-0146	Stx2d_115_ABKMSI010000056.1
2021-MINS-0199	Stx2a_1_X07865
2022-MIN-0014	Stx1c_12_Z36901
2022-MIN-0030	Stx2f_90_M29153
2022-MIN-0032	Stx2a_1_X07865
2022-MINS-0001	Stx2a_1_X07865
2022-MINS-0002	Stx2a_1_X07865
2022-MINS-0003	Stx2a_1_JH968311.1
2022-MINS-0004	Stx2b_23_AJ567995
2022-MINS-0005	Stx2a_1_AB030484
2022-MINS-0006	Stx1a_9_AF461168
2022-MINS-0023	Stx1a_9_AF461168
2022-MINS-0024	Stx2f_89_AJ010730
2022-MINS-0025	Stx2a_16_AF524944
2022-MINS-0026	Stx2a_1_X07865,Stx2a_1_AAADPA020000172.1
2022-MINS-0027	Stx2a_16_AF524944
2022-MINS-0028	Stx2b_23_2020_SEQ_0005
2022-MINS-0034	Stx2k_40_2019_BUR_0118,Stx2a_30_MZ229605O8:H28
2022-MINS-0048	Stx2c_7_NKPR01000091.1
2022-MINS-0052	Stx2a_1_AB030484
2022-MINS-0053	Stx1c_12_AARXOJ010000002.1
2022-MINS-0054	Stx2e_146_2018_SEQ_1270
2022-MINS-0055	Stx2c_152_JUBT01000110.1
2022-MINS-0056	Stx1c_12_Z36901
2022-MINS-0057	Stx1c_26_ABNCNA010000007.1
2022-MINS-0068	Stx2a_1_X07865
2022-MINS-0069	Stx2a_1_X07865
2022-MINS-0070	Stx1c_12_DQ449666
2022-MINS-0071	Stx2i_43_OLC3602
2022-MINS-0072	Stx1a_9_MPUD01000001.1
2022-MINS-0073	Stx2a_1_AB030484
2022-MINS-0074	Stx2d_9_AF479828
